cell,year,generation_twh,served_load_twh,storage_charge_twh,storage_discharge_twh,storage_roundtrip_loss_twh,transmission_loss_twh,balance_residual_twh
sweep_c150_d123,2030,238.04404300436323,233.29514581072712,26.99704107025954,22.22658614729502,4.770454922964521,0.0,-0.021557729328401387
sweep_c150_d123,2040,302.9466409898988,293.4921958358854,57.185689573602275,47.73126888733838,9.454420686263896,0.0,2.4467749498784543e-05
sweep_c150_d123,2050,322.10536303799165,311.08130519889096,68.06500790374834,57.04881594939675,11.016191954351589,0.0,0.00786588474906981
sweep_c300_d087,2030,168.4287761486485,164.2927979538681,24.722283411303593,20.508631334699473,4.21365207660412,0.0,-0.0776738818237111
sweep_c300_d087,2040,215.66370082635765,206.6852006883251,52.983990981095864,43.95661259945932,9.027378381636545,0.0,-0.048878243603989485
sweep_c300_d087,2050,228.5281428951893,219.07193072817444,56.09830501894427,46.69705124131143,9.401253777632833,0.0,0.05495838938200474
sweep_c300_d100,2030,194.03173870438104,188.94089324068892,28.484217316082784,23.453130148792834,5.03108716728995,0.0,0.0597582964021787
sweep_c300_d100,2040,247.34323714684032,237.69323381204111,58.41501238404025,48.76876929152038,9.646243092519873,0.0,0.003760242279358208
sweep_c300_d100,2050,262.4794067063998,251.9382881735692,63.406871222398316,52.91182215713846,10.49504906525986,0.0,0.046069467570737
sweep_c300_d110,2030,213.30965600920547,207.83498256475784,32.1697954752041,26.698381406166494,5.471414069037602,0.0,0.0032593754100352524
sweep_c300_d110,2040,271.69737012826386,261.4625571932453,62.57265602013146,52.35071023015873,10.22194578997273,0.0,0.01286714504583925
sweep_c300_d110,2050,288.3034093141408,277.13211699092614,67.90479573753572,56.77138699017447,11.133408747361242,0.0,0.03788357585340738
sweep_c300_d123,2030,239.09609214818954,233.29514581072712,34.60540666143606,28.779956659333042,5.825450002103016,0.0,-0.024503664640590547
sweep_c300_d123,2040,303.89505700088705,293.4921958358854,65.56133650408093,55.120650788718464,10.44068571536246,0.0,-0.037824550360828636
sweep_c300_d123,2050,323.4086610656113,311.08130519889096,75.0987663748466,62.84891001318892,12.249856361657686,0.0,0.07749950506263226
sweep_c550_d087,2030,168.68152643483896,164.2927979538681,25.728489051556434,21.374528313090114,4.353960738466323,0.0,0.034767742504537104
sweep_c550_d087,2040,215.98003276461543,206.6852006883251,54.14123959276262,44.90817371613938,9.233065876623243,0.0,0.061766199667066334
sweep_c550_d087,2050,228.5482490036606,219.07193072817444,56.7373343984036,47.285412082939764,9.451922315463834,0.0,0.02439596002230793
sweep_c550_d100,2030,194.60445324016848,188.94089324068892,32.782947587163136,27.162234574558823,5.620713012604315,0.0,0.04284698687524721
sweep_c550_d100,2040,247.8650647748763,237.69323381204111,60.29584428258915,50.179354291855724,10.11648999073343,0.0,0.05534097210176289
sweep_c550_d100,2050,262.73854891512394,251.9382881735692,65.19102062056851,54.418667401147125,10.772353219421387,0.0,0.027907522133350373
sweep_c550_d110,2030,213.51939788203407,207.83498256475784,34.70553078480016,29.00592943382291,5.699601350977246,0.0,-0.015186033701006322
sweep_c550_d110,2040,272.36777215691336,261.4625571932453,64.82953277555472,53.973428753618684,10.856104021936044,0.0,0.049110941732034084
sweep_c550_d110,2050,288.7622086468389,277.13211699092614,70.72219176283873,59.110607800888225,11.61158396195051,0.0,0.01850769396224618
sweep_c550_d123,2030,239.37952995883288,233.29514581072712,37.840892725387974,31.732590192567915,6.108302532820061,0.0,-0.0239183847142905
sweep_c550_d123,2040,305.08433555181074,293.4921958358854,70.37533112697652,58.83350272348708,11.54182840348944,0.0,0.050311312435895206
sweep_c550_d123,2050,323.93942666579045,311.08130519889096,78.00801729465584,65.21625831345368,12.79175898120217,0.0,0.06636248569728434
