year,demand_level,tight_cell,loose_cell,delta_co2e_t,chordal_aud_per_t,chordal_objective_aud_per_t,dual_tight_aud_per_t,dual_loose_aud_per_t,dual_vs_chordal_ratio,within_bracket
2040,d100,i005,i010,2159640.7581741577,587.839518275768,641.7583548347873,844.7420473479606,532.4364637460776,1.4370283403635924,True
2040,d100,i010,i025,6478922.273653516,378.69477342068893,409.49287365102333,532.4364637460776,290.78366819256087,1.4059778510716288,True
2040,d100,i025,i050,10798203.791734846,165.267564475279,174.6657626005947,290.78366819256087,111.78453834250405,1.7594720967528799,True
2040,d100,i050,i100,20980191.9992318,69.14368960648063,63.94881419813152,111.78453834250405,0.0,1.6166990650731317,True
2040,d105,i005,i025,9070491.184332,444.4458973731812,477.4070678200993,866.3421524945577,324.60561889126166,1.9492634707957024,True
2040,d105,i025,i100,33652616.369846605,108.58260672118597,105.90713544618954,324.60561889126166,0.0,2.9894808081442625,True
2040,d110,i005,i010,2375604.833991416,638.0081376530878,656.0466950142734,871.5578341384235,540.1610040539579,1.3660606859098192,True
2040,d110,i010,i025,7126814.501975712,382.760958918755,429.55894237899906,540.1610040539579,354.8302576268894,1.4112228310322856,True
2040,d110,i025,i050,11878024.16994805,196.41696141718506,200.18044802567525,354.8302576268894,125.86468504909305,1.806515359298519,True
2040,d110,i050,i100,23662634.031521764,76.19151297704217,66.24257037115638,125.86468504909305,0.0,1.6519515118044483,True
2040,d110,i100,i150,2.9802322387695312e-08,-0.0,-3355443200.0,0.0,0.0,,True
2040,d120,i005,i025,10366275.639231991,463.77113057575946,497.0862708394822,935.5282995747683,373.3250355591272,2.017219783416305,True
2040,d120,i025,i100,36384843.3566652,132.39382521388592,132.20413106763678,373.3250355591272,0.0,2.8198070035064715,True
2040,d135,i005,i025,11662060.094139662,491.1985505972047,516.2090961120291,981.6922027097047,383.1686130443759,1.9985649418471458,True
2040,d135,i025,i100,40326717.556706,161.25868018038906,155.13905120600717,383.1686130443759,0.0,2.3761115532866284,True
2040,d150,i005,i010,3239461.1372624207,765.4974848242679,769.3185978783097,1113.0816505203616,587.8847157085233,1.4540631061327225,True
2040,d150,i010,i025,9718383.411783472,420.507127960702,462.90499246462866,587.8847157085233,398.08392653402814,1.398037456724071,True
2040,d150,i025,i050,16197305.686293092,288.8542883537555,299.74703163802144,398.08392653402814,189.87784028512937,1.3781478848827085,True
2040,d150,i050,i100,29733502.939240623,134.6329617174592,108.40042313838171,189.87784028512937,0.0,1.4103369476756151,True
2040,d150,i100,i150,-7.450580596923828e-09,-512.0,0.0,0.0,0.0,-0.0,False
2050,d100,i005,i010,1201796.4149621124,1497.663203122801,1507.477620539511,2284.038030094832,957.6848895089986,1.5250678692861976,True
2050,d100,i010,i025,3605389.2448854856,627.2193098082777,659.7047193653416,957.6848895089986,512.6967228852944,1.5268740527164804,True
2050,d100,i025,i050,6008982.074810658,319.82976721749014,318.1715765161845,512.6967228852944,174.18721000690368,1.6030300348392874,True
2050,d100,i050,i100,11826898.69396658,110.41382648788723,81.43148892374552,174.18721000690368,0.0,1.5775851226930588,True
2050,d105,i005,i025,5047544.942839931,865.600815602705,891.6616594735544,2359.767660972615,517.8321417953655,2.726161549801156,True
2050,d105,i025,i100,18928293.535653085,193.6933450321596,171.532150739545,517.8321417953655,10.390713879726889,2.673463777030584,True
2050,d110,i005,i010,1321976.056458267,1572.4841924448817,1639.8584447950902,2410.2709750158774,1014.5633162872293,1.5327791443603727,True
2050,d110,i010,i025,3965928.169374247,624.574517300637,664.9615140195798,1014.5633162872293,516.8200224282896,1.6244071574871384,True
2050,d110,i025,i050,6609880.282290664,350.0253652847501,345.35944714703635,516.8200224282896,184.61974458933184,1.4765216286763958,True
2050,d110,i050,i100,13219760.56458234,137.96474204024048,99.74429518282724,184.61974458933184,13.063815498339352,1.338166127513096,True
2050,d110,i100,i150,819072.7894229181,63.154590940128195,6.324468431736984,13.063815498339352,0.0,0.20685456597643248,False
2050,d120,i005,i025,5768622.791817716,897.796380251017,932.4103159647127,2510.7234091350883,509.2764292020685,2.796539910790361,True
2050,d120,i025,i100,21632335.469319545,220.3057875341446,199.0292359373914,509.2764292020685,30.56177614369102,2.311679756135036,True
2050,d135,i005,i025,6489700.64079414,1014.6286069543488,1019.4377624158675,3333.5967433023766,511.07189492745954,3.2855339583899243,True
2050,d135,i025,i100,24336377.402974945,247.48287806304313,227.3775019335279,511.07189492745954,46.94126610329329,2.0650798104799413,True
2050,d150,i005,i010,1802694.6224427808,2375.1641880411244,2691.875950361652,5988.832236705666,1424.7285742738577,2.521439261697884,True
2050,d150,i010,i025,5408083.867329115,738.1573021963533,760.823186351966,1424.7285742738577,503.4401478291989,1.9301151259150902,True
2050,d150,i025,i050,9013473.112216398,392.25833254464777,417.9408151663834,503.4401478291989,379.93134539802867,1.283440289370771,True
2050,d150,i050,i100,18026946.224426776,224.18570957743077,197.18724157413592,379.93134539802867,66.4967327464912,1.6947170545087997,True
2050,d150,i100,i150,10019553.266848631,138.18404050666754,40.060668306247344,66.4967327464912,0.0,0.4812186161489659,False
