cell,carbon_price,demand_level,year,existing_units,existing_installed_mw,existing_retained_mw,existing_keeping_cost_aud_per_yr,existing_retired_mw,retained_mw_biomass,retained_mw_black_coal,retained_mw_brown_coal,retained_mw_gas,retained_mw_liquid_fuel,retained_mw_solar,retained_mw_water,retained_mw_wind,carried_capex_aud_per_yr,existing_fleet_fom_aud_per_yr,carried_gw,cost_per_mwh_excl_fuel_carbon,avg_cost_aud_per_mwh,delivered_twh,keeping_vs_extractor_fom_ratio
sweep_c0_d123,0,d123,2040,308,55981.86735183881,54431.8625176182,2948887973.517103,1550.0048342206064,31.999999999999904,3899.999999999998,1160.0000000000011,4619.505678467153,122.99999999999979,19599.599999999984,5485.556839151084,19512.19999999998,527720422.5165764,2948887973.517103,4.199038381374423,61.76594588804663,83.81939341301424,293.4921958358854,1.0
sweep_c0_d123,0,d123,2050,290,48873.60758682955,48103.54134136615,2342258540.852478,770.0662454634003,0.0,1696.0,0.0,2159.250747678513,122.99999999999979,19242.033754536576,5485.556839151083,19397.699999999975,11923479374.845606,2342258540.8524776,64.25350358455776,71.74508132220889,93.24224247651723,311.08130519889096,1.0000000000000002
sweep_c150_d087,150,d087,2030,329,73870.4,56804.584377944455,2925207663.573393,17065.81562205554,32.0,3635.5682619933987,1160.0000849443068,5979.914859288264,0.0011717184884993206,19599.6,6885.299999999998,19512.2,0.0,2925207663.573393,0.0,56.99811995956065,74.72146496963865,164.2927979538681,1.0
sweep_c150_d087,150,d087,2040,308,55246.13414369468,53111.09836114759,2960287172.2274437,2135.035782547093,32.0,2084.190875868058,1160.0,3837.8074852795417,0.0,19599.6,6885.299999999998,19512.199999999997,3532431634.6549926,2960287172.227444,15.170425669023489,73.83662289570782,91.21681740402028,206.68520068832512,0.9999999999999999
sweep_c150_d087,150,d087,2050,290,48280.093081469044,46835.5388707535,2349563411.720685,1444.5542107155416,0.0,852.2737473809185,0.0,844.7193340881356,0.0,18855.545789284453,6885.2999999999965,19397.699999999997,9112148375.245195,2349563411.7206845,47.61239538009276,80.45473595924568,93.99386521798378,219.0719307281744,1.0000000000000002
sweep_c150_d100,150,d100,2030,329,73870.4,59169.216484252895,3018529469.0292473,14701.1835157471,32.00000000000002,4576.509220480454,1321.4432352309498,7242.163987380922,4.1160571673418936e-05,19599.6,6885.299999999999,19512.199999999997,0.0,3018529469.029248,0.0,60.47046894788851,81.72912698218416,188.9408932406889,0.9999999999999997
sweep_c150_d100,150,d100,2040,308,57265.92904946979,55211.43457790171,3059770321.6777363,2054.494471568083,32.0,2963.0856555538453,1159.9999999999977,5059.248922347881,0.0,19599.599999999995,6885.2999999999965,19512.199999999993,5369246117.620336,3059770321.6777363,22.822961155171868,77.21054082992777,98.89255757240818,237.6932338120412,1.0
sweep_c150_d100,150,d100,2050,290,49460.9540630359,47406.961411826356,2358600405.433048,2053.992651209541,0.0,852.3060655400749,0.0,1967.5479974958319,0.0,18304.107348790454,6885.3,19397.699999999997,11813683984.151323,2358600405.433048,57.44392810432428,85.27706790692638,101.91866856618608,251.9382881735692,1.0
sweep_c150_d110,150,d110,2030,329,73870.4,60625.929244492836,3126612326.4951115,13244.470755507158,32.0,5942.839435398259,1688.280229279163,6965.7093308999565,0.0002489154502731287,19599.6,6885.299999999998,19512.2,0.0,3126612326.4951115,0.0,62.65724838936092,86.70607619847375,207.83498256475784,1.0
sweep_c150_d110,150,d110,2040,308,57460.270717699575,55382.67859246962,3075216125.7229486,2077.592125229952,32.0,3434.5257759894994,1160.0,4759.052816480127,0.0,19599.6,6885.299999999998,19512.199999999997,6740456248.815223,3075216125.722949,27.836345205581228,78.88062979327816,104.01617050225217,261.4625571932453,0.9999999999999999
sweep_c150_d110,150,d110,2050,290,49719.88871549241,47855.82818190069,2399915076.4970474,1864.0605335917207,0.0,1230.5257759894994,0.0,1848.2629395029135,0.0,18494.03946640827,6885.299999999997,19397.700000000004,13952943769.515385,2399915076.4970474,67.66107382957536,89.3010720551324,107.553203611711,277.13211699092614,1.0
sweep_c150_d123,150,d123,2030,329,73870.4,62659.585064627565,3262744770.1510687,11210.81493537243,32.0,7681.265834764041,2352.8291838265823,6596.37131257733,0.018733459609839923,19599.6,6885.299999999998,19512.2,0.0,3262744770.151068,0.0,64.1528207530783,93.23017922036308,233.29514581072715,1.0000000000000002
sweep_c150_d123,150,d123,2040,308,57941.72421050183,55955.43464021922,3101109093.921608,1986.2895702826136,32.0,3900.0,1160.0,4866.33464021923,0.0,19599.6,6885.299999999998,19512.199999999997,8377903552.260155,3101109093.921608,34.85981401604059,78.75875770984416,109.68765955564676,293.4921958358854,1.0
sweep_c150_d123,150,d123,2050,290,50393.29820297868,48491.59532738847,2449635077.7073817,1901.7028755902065,0.0,1696.0,0.0,2056.1982029786877,0.0,18456.3971244098,6885.2999999999965,19397.699999999997,15980814425.302025,2449635077.7073817,77.6841010557636,91.05164213306348,113.62914709059606,311.08130519889096,1.0
sweep_c300_d087,300,d087,2030,329,73870.4,55840.14966303894,2832681581.2754574,18030.250336961057,32.0,1996.9735541740642,0.00023957177396171086,7814.075869293097,0.0,19599.6,6885.299999999998,19512.2,0.0,2832681581.275458,0.0,62.71661428197248,80.73751120867844,164.2927979538681,0.9999999999999998
sweep_c300_d087,300,d087,2040,308,54281.69584116368,52050.686714494754,2807010201.3205805,2231.009126668927,32.0,0.5036437963908876,0.0,6021.08307069837,0.0,19599.6,6885.299999999998,19512.199999999997,4581095089.484745,2807010201.3205805,19.34278728419156,80.72026812548914,97.41842140680616,206.68520068832512,1.0
sweep_c300_d087,300,d087,2050,290,48480.59477432257,47343.14295084581,2312820479.674811,1137.4518234767602,0.0,0.48784442654125515,0.0,1838.9999999999968,0.0,19220.655106419315,6885.299999999986,19397.699999999968,10571798747.50391,2312820479.674811,53.26105116772062,85.84979679807739,99.02838909311691,219.0719307281744,1.0
sweep_c300_d100,300,d100,2030,329,73870.4,56627.10107307051,2879401279.9733286,17243.298926929485,32.0,3228.0349337384487,0.00016750947175680776,7369.965971822584,0.0,19599.6,6885.299999999998,19512.2,0.0,2879401279.973328,0.0,69.26307795283077,89.26040353959463,188.9408932406889,1.0000000000000002
sweep_c300_d100,300,d100,2040,308,55068.172935542985,52389.57574158011,2842317320.571091,2678.5971939628726,32.0,669.4021230411145,0.0,5691.073618539006,0.0,19599.6,6885.299999999998,19512.199999999997,7255264807.145876,2842317320.571092,30.200394819758003,85.43994563601362,107.20665147387042,237.6932338120412,0.9999999999999997
