run_id,demand_level,cap_key,year,trace_directory,cap_t,share_min,solver_options,model_status,objective_value,pdlp_gap_rel,lp_rows,solve_s,wall_clock_s,network_path,record_path
idm_d135_i100_2030,d135,i100,2030,traces_d135,100854150.17410378,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,7774947110.0,,12030866,11889.764719299972,12499.555884399917,analysis\benchmarks\runs_myopic\idm_d135_i100_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i100_2030.json
idm_d135_i100_2040,d135,i100,2040,traces_d135,58310300.470693454,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,24442108900.0,,12598724,16804.027245899662,17547.676966500003,analysis\benchmarks\runs_myopic\idm_d135_i100_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i100_2040.json
idm_d135_i100_2050,d135,i100,2050,traces_d135,32448503.20397569,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,22743193100.0,,12646736,30580.690838499926,31190.581318699755,analysis\benchmarks\runs_myopic\idm_d135_i100_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d135_i100_2050.json
idm_d150_i005_2030,d150,i005,2030,traces_d150,5603008.343005766,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,26770223500.0,,12030866,14517.779547899961,15126.166746600065,analysis\benchmarks\runs_myopic\idm_d150_i005_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i005_2030.json
idm_d150_i005_2040,d150,i005,2040,traces_d150,3239461.1372607476,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,44704695900.0,,12598724,26312.448396600317,26931.512226099614,analysis\benchmarks\runs_myopic\idm_d150_i005_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i005_2040.json
idm_d150_i005_2050,d150,i005,2050,traces_d150,1802694.6224430935,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,45087584200.0,,12646736,15621.507567200344,16256.741490400396,analysis\benchmarks\runs_myopic\idm_d150_i005_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i005_2050.json
idm_d150_i010_2030,d150,i010,2030,traces_d150,11206016.686011532,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,23851450700.0,,12030866,10458.301865799818,11084.891186400317,analysis\benchmarks\runs_myopic\idm_d150_i010_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i010_2030.json
idm_d150_i010_2040,d150,i010,2040,traces_d150,6478922.274521495,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,42212518200.0,,12598724,21832.290956099983,22445.277484099846,analysis\benchmarks\runs_myopic\idm_d150_i010_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i010_2040.json
idm_d150_i010_2050,d150,i010,2050,traces_d150,3605389.244886187,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,40234953900.0,,12646736,27518.39792919997,28165.565330199897,analysis\benchmarks\runs_myopic\idm_d150_i010_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i010_2050.json
idm_d150_i025_2030,d150,i025,2030,traces_d150,28015041.71502883,,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,18942995845.0,0.00298,12030866,9355.091628300026,9963.895392800216,analysis\benchmarks\runs_myopic\idm_d150_i025_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d150_i025_2030.json
