sweep_id,carbon_price_aud_per_tco2e,tns_price_aud_per_tco2,year,cost_per_mwh_excl_fuel_carbon,co2_t_per_mwh,co2e_total_t_per_mwh,gj_per_mwh_coal,gj_per_mwh_natural_gas,gj_per_mwh_biomass,annual_generation_twh,solve_gap_rel,solve_pinf_rel,solve_dinf_rel,solve_iterations,solve_wall_s,solve_model_status,tolerance_robust,carried_capex_aud_per_yr,carried_vintages,carried_gw,existing_fleet_fom_aud_per_yr,existing_fleet_active_gw,renewable_share_pct_bulk_grid,diagnostic_cost_per_mwh_year_t_incremental,diagnostic_bundled_cost_per_mwh,diagnostic_fuel_cost_per_mwh,diagnostic_carbon_cost_per_mwh,cell,carbon_price,demand_level,demand_scalar,avg_cost_aud_per_mwh,delivered_twh,total_cost_aud_per_yr,co2e_total_kt_per_yr,gj_per_mwh_diesel,total_twh,twh_Biomass,share_Biomass,twh_Black Coal,share_Black Coal,twh_Brown Coal,share_Brown Coal,twh_Gas,share_Gas,twh_Liquid Fuel,share_Liquid Fuel,twh_Solar,share_Solar,twh_Unserved Energy,share_Unserved Energy,twh_Water,share_Water,twh_Wind,share_Wind,renewable_fraction_pct,use_mwh,gw_Biomass,gw_Black Coal,gw_Brown Coal,gw_Gas,gw_Solar,gw_Unserved Energy,gw_Water,gw_Wind,gw_Liquid Fuel
sweep_c0_d123,0.0,89.93,2040,61.76594588804663,0.1818482152450126,0.1825386527240928,1.2142405597850214,1.380696056874784,0.1031813045468078,293.4921958358854,0.003,0.00074,2.22e-06,18680,7177.28499220009,Unknown,True,527720422.5165764,1,4.199038381374423,2948887973.517103,74.7536825176182,71.15522671115279,49.92028714358814,71.97373466855575,22.053447524967613,0.0,sweep_c0_d123,0,d123,1.234752,83.81939341301424,293.4921958358854,24600337826.417496,53573.67001291812,0.0021146004162191,303.0862156616199,1.7269920260157599,0.5698022334159389,23.839499420846536,7.865583516824172,8.924942942886387,2.944687841841882,54.58702669318887,18.010395680327626,0.07306272041898698,0.024106249853526076,93.39991824952695,30.81628705734448,0.0,0.0,12.775700910594171,4.2152035461941235,107.75907269814228,35.553933874198265,71.1552267111528,0.0,0.22827881534204617,3.899999999999998,1.160000000000001,17.243495289953632,41.63168490572092,1500.0,5.4855568391510845,36.82004577655824,0.12299999999999979
sweep_c0_d123,0.0,89.93,2050,71.74508132220889,0.1094249915159922,0.1098789052349567,0.3095353904268175,1.583304523449834,0.0961114917272236,311.08130519889096,0.00297,0.00158,2.59e-06,24640,9194.035124600166,Unknown,True,11923479374.845606,2,64.25350358455776,2342258540.8524776,61.55214134136615,76.32432939747821,25.88653027049193,47.3836914248003,21.497161154308365,0.0,sweep_c0_d123,0,d123,1.234752,93.24224247651725,311.08130519889096,29005918489.266457,34181.27325431559,0.0026553820913204,321.95377907264793,1.7050691261682962,0.5296005939360483,9.783087334465764,3.0386620597046132,0.0,0.0,66.34636319408378,20.607418675185954,0.09526569706127785,0.029589867631210947,95.13323103784766,29.54872320861347,0.0,0.0,9.849120842890239,3.059172304564816,139.04164184013092,43.186833290363886,76.32432939747822,0.0,0.21732396660247955,1.696,0.0,19.801934928696745,46.93720208762522,1500.0,5.485556839151084,41.39276759609583,0.12299999999999979
sweep_c150_d087,150.0,89.93,2030,56.99811995956065,0.067722940128053,0.0679461615972433,0.5052861226343104,0.4218737813161988,0.0190235948248355,164.2927979538681,0.00297,0.000655,3.88e-07,36560,13446.109865899896,Unknown,True,0.0,0,0.0,2925207663.573393,77.47340437794445,89.99494132163723,39.19327580324672,56.91662081332474,7.531420770491506,10.191924239586504,sweep_c150_d087,150,d087,0.869546,74.72146496963865,164.2927979538681,12276198547.073875,11163.064999036767,5.614381571797822e-07,168.4652472886905,0.17823946653868422,0.10580192022230206,5.800962879067532,3.443418136636045,1.9380532668060952,1.1504172510339477,9.116020435437052,5.411217198889324,1.026257174279539e-05,6.091803447870131e-06,44.826836959023595,26.608952101679513,0.0,0.0,12.997408363604864,7.7151867063310995,93.60771565564093,55.565000593404314,89.99494132163723,0.0,0.032,3.635252022994775,1.16,5.9797080312604995,21.507853120928363,1500.0,6.885299999999998,30.04706738441902,0.0
sweep_c150_d087,150.0,89.93,2040,73.83662289570782,0.0581086419168424,0.0585391417749221,0.3140683656637553,0.5743492563089535,0.1517319902851979,206.68520068832512,0.00268,0.00133,5.9e-07,22920,9144.607021400006,Unknown,True,3532431634.6549926,1,15.170425669023489,2960287172.227444,73.4329183611476,89.7222947663124,42.423058764073375,59.803253272385845,8.599323242074153,8.780871266238318,sweep_c150_d087,150,d087,0.869546,91.21681740402029,206.68520068832512,18853166211.300243,12099.174265872092,,214.55695289021395,1.78846026526859,0.8335596871492308,4.698281681608982,2.1897596970502433,1.3910577801954815,0.6483396419724827,15.962191714633748,7.4396058946649,0.0,0.0,75.4861861241976,35.1823537328212,0.0,0.0,12.771076717655577,5.952301496465777,102.45969860665396,47.75407984987617,89.72229476631236,0.0,0.25352472408282567,2.083917128487139,1.16,8.277349540935642,36.80307813033497,1500.0,6.885299999999998,35.954384434500426,0.0
sweep_c150_d087,150.0,89.93,2050,80.45473595924568,0.0388866527642119,0.0392326043119749,0.1125099445874085,0.5595596476985323,0.1367821916440776,219.0719307281744,0.00286,7.65e-05,7.63e-06,35800,13758.462177000009,Unknown,True,9112148375.245195,2,47.61239538009276,2349563411.7206845,60.2841388707535,91.92444589110042,28.13533680633626,41.67446606507436,7.654238611941863,5.8848906467962365,sweep_c150_d087,150,d087,0.869546,93.99386521798378,219.0719307281744,20591417529.907505,8594.762374118842,,227.90344914065537,1.7088701125421266,0.7498219614427432,2.516398676198909,1.1041512033658873,0.0,0.0,15.888067675203112,6.971402905533676,0.0,0.0,76.19434795985332,33.432731381273825,0.0,0.0,9.83426177541344,4.31510001822922,121.76150294144446,53.42679253015466,91.92444589110045,0.0,0.30476855397427066,0.852,0.0,9.563694028065624,39.238739220909714,1500.0,6.885299999999996,38.301451760192755,0.0
sweep_c150_d100,150.0,89.93,2030,60.47046894788851,0.0809394675414461,0.0811918332575481,0.6006282228898845,0.5114762763341567,0.0156473509509746,188.9408932406889,0.003,0.000159,1.84e-07,27760,10354.99613909982,Unknown,True,0.0,0,0.0,3018529469.0292478,79.8380364842529,87.96895214848179,44.4944172988472,65.75307533314285,9.079883045663436,12.178774988632217,sweep_c150_d100,150,d100,1.0,81.72912698218416,188.9408932406889,15441974255.795563,15340.45749953021,1.9964024379397668e-08,193.35712117156135,0.16860076773572272,0.08719656494374836,8.323747164585706,4.304856792525492,2.3562127365094807,1.218580790939097,12.582927510812986,6.507610081579795,3.6056042347261664e-07,1.8647382692086093e-07,48.94034069843115,25.310855065434858,0.0,0.0,12.981215193941884,6.713595607592827,108.00407673898398,55.85730491051035,87.96895214848178,0.0,0.03200000000000002,4.575704701163808,1.3214432352309498,7.673107465668191,23.785380826834107,1500.0,6.885299999999999,34.62795078008544,0.0
sweep_c150_d100,150.0,89.93,2040,77.21054082992777,0.0687328186191508,0.0691395346280715,0.3126072348174308,0.7845562557989119,0.1241540573157539,237.69323381204117,0.00224,0.00113,1.29e-06,37120,15039.261372900102,Unknown,True,5369246117.620336,1,22.822961155171868,3059770321.6777363,75.53325457790172,86.91319302032832,41.74879753956797,63.43081428204837,11.311086548269678,10.370930194210722,sweep_c150_d100,150,d100,1.0,98.89255757240818,237.69323381204117,23506091809.32916,16433.999570005915,,245.8817722187713,1.6829472211593741,0.6844538356678126,5.698768234103994,2.3176863346476786,1.355706082433693,0.5513650199444083,25.123598611928887,10.21775562507959,0.0,0.0,79.39729099983738,32.290840546404674,0.0,0.0,12.783924240696422,5.199215918015277,119.83953682861156,48.73868272024057,86.91319302032832,0.0,0.23044335198893845,2.9627795900137706,1.1599999999999977,11.054203616221745,38.91954513788365,1500.0,6.885299999999996,41.59565491854402,0.0
sweep_c150_d100,150.0,89.93,2050,85.27706790692638,0.0461109812885151,0.0464396566077779,0.1007213346641117,0.7207544765979563,0.1171144084927789,251.9382881735692,0.00294,0.000565,1.21e-05,24880,10100.438843799988,Unknown,True,11813683984.151323,2,57.44392810432428,2358600405.433048,60.85556141182636,89.88903014929383,29.02406844294421,45.66566910220392,9.67565216809302,6.965948491166687,sweep_c150_d100,150,d100,1.0,101.91866856618608,251.9382881735692,25677214891.494278,11699.927589131945,,261.3362107933535,1.6826634594656018,0.6438692343313018,2.590701856688387,0.9913290809657197,0.0,0.0,23.832923625605552,9.119640769740469,0.0,0.0,80.43868865110534,30.779771546741628,0.0,0.0,9.839290602247663,3.7649932140586104,142.95194259824095,54.70039615416228,89.88903014929383,0.0,0.23035939389619903,0.8520000000000003,0.0,12.139664555832917,41.539921373144715,1500.0,6.8853,44.82173040696364,0.0
sweep_c150_d110,150.0,89.93,2030,62.65724838936092,0.0945722909564968,0.0950924706701486,0.7485029314252917,0.5152795422163797,0.1428084338958195,207.83498256475784,0.00283,0.00053,6.1e-07,17640,6493.359129900113,Unknown,True,0.0,0,0.0,3126612326.4951115,81.29474924449282,86.53703020139086,47.61352337294837,71.6623511820612,9.78495720859053,14.2638706005223,sweep_c150_d110,150,d110,1.1,86.70607619847375,207.83498256475784,18020555834.968357,19763.541983770083,1.085321142547982e-07,212.3163674422631,1.692642597226264,0.7972266187563508,11.44363822186732,5.389899214896506,3.169515628995359,1.4928267976595215,13.970932395118522,6.580242759154096,2.1802746906894984e-06,1.026899017233044e-06,51.94244146176177,24.464643064264415,0.0,0.0,12.982232329478345,6.114569727182577,117.11496262754083,55.160590791187516,86.53703020139086,0.0,0.24435576225767053,5.942739899204094,1.688280229279163,7.616202206267786,25.301440505100945,1500.0,6.885299999999998,37.5070998356887,0.0
sweep_c150_d110,150.0,89.93,2040,78.88062979327816,0.0805788602775589,0.0810078478051678,0.3794045649456078,0.8966700071391465,0.1186150816738804,261.4625571932453,0.00289,0.000478,2.12e-06,23960,9812.31243359996,Unknown,True,6740456248.815223,1,27.836345205581228,3075216125.722949,75.70449859246962,84.83470318391116,41.339222412016014,66.47476312099,12.984363538198831,12.151177170775163,sweep_c150_d110,150,d110,1.1,104.01617050225215,261.4625571932453,27196333928.967457,21180.519039860395,,270.3604958642961,1.7686511343020852,0.6541825308642119,7.487439278237058,2.7694280017873907,1.8832745558904915,0.6965790434249597,31.630257837142583,11.699289770876502,0.0,0.0,87.72911115656198,32.448938546331284,0.0,0.0,12.763039729505564,4.7207487501842,127.09872217265637,47.01083335653146,84.83470318391116,0.0,0.27716732072517297,3.4345257759894996,1.16,12.376503591399153,43.30549802799956,1500.0,6.885299999999998,43.43009392136743,0.0
