cell,year,carrier,duration_class,power_gw,energy_gwh,units
sweep_c150_d123,2040,Battery,3_4to8h,1.766759865621753,8.259839462487012,17.0
sweep_c150_d123,2040,Battery,4_8h,12.54499101597684,100.35992812781473,28.0
sweep_c150_d123,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d123,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d123,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d123,2040,Water,6_over24h,2.2,349.8,1.0
sweep_c150_d123,2050,Battery,1_under_2h,2.676887293184234,4.440287293184234,22.0
sweep_c150_d123,2050,Battery,2_2to4h,3.1673306903637664,8.209861380727533,32.0
sweep_c150_d123,2050,Battery,3_4to8h,1.4992705877685897,7.173082351074359,29.0
sweep_c150_d123,2050,Battery,4_8h,20.746822786804174,165.9745822944334,31.0
sweep_c150_d123,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c150_d123,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c150_d123,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c150_d123,2050,Water,6_over24h,2.2,349.8,1.0
sweep_c300_d087,2030,Battery,1_under_2h,5.163320000000001,7.724199999999999,31.0
sweep_c300_d087,2030,Battery,2_2to4h,6.9935,17.8953,37.0
sweep_c300_d087,2030,Battery,3_4to8h,1.7258000000000002,8.096,8.0
sweep_c300_d087,2030,Battery,4_8h,1.540104783035153,12.320838264281225,16.0
sweep_c300_d087,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c300_d087,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d087,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d087,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c300_d087,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c300_d087,2040,Battery,1_under_2h,5.01851305960669,7.488293059606689,35.0
sweep_c300_d087,2040,Battery,2_2to4h,6.9119574003261715,17.73221480065234,45.0
sweep_c300_d087,2040,Battery,3_4to8h,1.7757676408739367,8.295870563495749,19.0
sweep_c300_d087,2040,Battery,4_8h,9.411943608396594,75.29554886717276,31.0
sweep_c300_d087,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d087,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d087,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c300_d087,2040,Water,6_over24h,2.396251279462159,359.22006141418365,2.0
sweep_c300_d087,2050,Battery,1_under_2h,2.6752898147814186,4.438689814781419,27.0
sweep_c300_d087,2050,Battery,2_2to4h,3.1641229049321837,8.203445809864364,36.0
sweep_c300_d087,2050,Battery,3_4to8h,1.4835723148543465,7.110289259417386,28.0
sweep_c300_d087,2050,Battery,4_8h,13.886007710611935,111.08806168489548,31.0
sweep_c300_d087,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d087,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d087,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c300_d087,2050,Water,6_over24h,2.396251279462159,359.22006141418365,2.0
sweep_c300_d100,2030,Battery,1_under_2h,5.164496368504151,7.725376368504151,32.0
sweep_c300_d100,2030,Battery,2_2to4h,6.994820421877541,17.89794084375508,38.0
sweep_c300_d100,2030,Battery,3_4to8h,1.7297945961965002,8.111978384786,11.0
sweep_c300_d100,2030,Battery,4_8h,2.942913305811846,23.543306446494768,17.0
sweep_c300_d100,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c300_d100,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d100,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d100,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c300_d100,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c300_d100,2040,Battery,1_under_2h,5.015705561154201,7.485485561154202,35.0
sweep_c300_d100,2040,Battery,2_2to4h,6.909894511687756,17.728089023375514,41.0
sweep_c300_d100,2040,Battery,3_4to8h,1.779841521470611,8.312166085882442,22.0
sweep_c300_d100,2040,Battery,4_8h,12.410453408153874,99.28362726523099,32.0
sweep_c300_d100,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c300_d100,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c300_d100,2040,Water,5_over8to24h,3.3795064351999087,62.817064351999086,4.0
sweep_c300_d100,2040,Water,6_over24h,2.4101714231003206,359.88822830881537,2.0
sweep_c300_d100,2050,Battery,1_under_2h,2.6611091926500494,4.424509192650049,18.0
sweep_c300_d100,2050,Battery,2_2to4h,3.149574089810215,8.17434817962043,23.0
