cell,run_id,carbon_price,demand_level,demand_scalar,year,trace_directory,realised_demand_ratio,rep_weeks,named_weeks,resolution_min,solver_options,model_status,pdlp_gap_rel,pdlp_pinf_rel,pdlp_dinf_rel,pdlp_iterations,objective_value,lp_rows,solve_s,wall_clock_s,network_path,record_path
sweep_c300_d100,sweep_c300_d100_2050,300,d100,1.0,2050,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.003,6.44e-05,4.41e-06,28280,9105128638.7,13476655,11199.346180099994,11800.22309650015,analysis\benchmarks\runs_myopic\sweep_c300_d100_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d100_2050.json
sweep_c300_d110,sweep_c300_d110_2030,300,d110,1.1,2030,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00279,0.000975,1.06e-06,18480,13232995135.0,12030865,6973.387137399986,7569.509796800092,analysis\benchmarks\runs_myopic\sweep_c300_d110_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d110_2030.json
sweep_c300_d110,sweep_c300_d110_2040,300,d110,1.1,2040,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00294,0.00108,2.76e-06,19680,15147410372.0,13760611,8324.364731600042,8943.3840292003,analysis\benchmarks\runs_myopic\sweep_c300_d110_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d110_2040.json
sweep_c300_d110,sweep_c300_d110_2050,300,d110,1.1,2050,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.003,4.18e-05,3.52e-06,47000,11042270044.0,13935295,18173.91285350034,18785.293355899863,analysis\benchmarks\runs_myopic\sweep_c300_d110_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d110_2050.json
sweep_c300_d123,sweep_c300_d123_2030,300,d123,1.234752,2030,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00297,0.00183,3.58e-06,19800,17507778460.0,12030865,7418.093713200185,7983.014514300041,analysis\benchmarks\runs_myopic\sweep_c300_d123_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d123_2030.json
sweep_c300_d123,sweep_c300_d123_2040,300,d123,1.234752,2040,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00279,0.0014,4.72e-06,20000,18871025137.0,13847971,8507.413274500053,9116.567347500008,analysis\benchmarks\runs_myopic\sweep_c300_d123_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d123_2040.json
sweep_c300_d123,sweep_c300_d123_2050,300,d123,1.234752,2050,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00299,0.000149,1.74e-06,26240,14428424604.0,13616431,10339.043400700204,10949.22663539974,analysis\benchmarks\runs_myopic\sweep_c300_d123_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c300_d123_2050.json
sweep_c550_d087,sweep_c550_d087_2030,550,d087,0.869546,2030,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00295,0.00051,2.01e-06,17680,7764811683.9,12030865,6469.235549000092,7057.964013800025,analysis\benchmarks\runs_myopic\sweep_c550_d087_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c550_d087_2030.json
sweep_c550_d087,sweep_c550_d087_2040,550,d087,0.869546,2040,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.0029,0.000505,4.28e-06,23640,9986859008.0,13673251,9412.239418700105,10029.485386200016,analysis\benchmarks\runs_myopic\sweep_c550_d087_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c550_d087_2040.json
sweep_c550_d087,sweep_c550_d087_2050,550,d087,0.869546,2050,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00283,4.64e-05,2.83e-06,37840,6867086245.0,12769039,13853.226671400014,14461.259500500048,analysis\benchmarks\runs_myopic\sweep_c550_d087_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c550_d087_2050.json
