carbon_price,year,from_level,to_level,from_delivered_twh,to_delivered_twh,delta_delivered_twh,from_total_cost_aud_per_yr,to_total_cost_aud_per_yr,marginal_cost_aud_per_mwh,from_co2e_kt_per_yr,to_co2e_kt_per_yr,marginal_co2e_t_per_mwh,marginal_thermal_twh,marginal_renewable_twh,marginal_thermal_per_delivered_pct,marginal_renewable_per_delivered_pct,marginal_thermal_pct_of_generation,marginal_renewable_pct_of_generation
300,2040,d100,d110,237.69323381204117,261.4625571932453,23.769323381204117,25482295674.984688,29804311637.645096,181.83167830844081,9551.30113116608,11663.503834105928,0.08886255065258185,4.863666484732955,19.490466496690473,20.461947556231067,81.99840687136596,19.970600014555263,80.02939998544474
300,2040,d110,d123,261.4625571932453,293.4921958358854,32.02963864264012,29804311637.645096,35649406706.89854,182.49019710987426,11663.503834105928,15765.48630390433,0.1280683343188753,10.321851935284528,21.87583493733878,32.22593938834935,68.29872538185965,32.05774370102617,67.94225629897383
300,2050,d087,d100,219.0719307281744,251.9382881735692,32.86635744539478,21694340395.530014,27323527804.36332,171.27506198962928,5241.700875675741,7709.263443286673,0.07507867495540442,6.25162939995406,27.699634411256447,19.02136374662363,84.2795994575228,18.413539580490692,81.5864604195093
300,2050,d100,d110,251.9382881735692,277.13211699092614,25.193828817356945,27323527804.36332,31934446936.97525,183.0178003525729,7709.263443286673,9891.30860463663,0.08661030354571066,5.432783350565335,20.391219257175642,21.56394484518563,80.93735733858519,21.037727702741204,78.96227229725879
300,2050,d110,d123,277.13211699092614,311.08130519889096,33.94918820796482,31934446936.97525,38222754243.450424,185.22703011201526,9891.30860463663,13051.949881696122,0.09309917096391643,8.153535481445106,26.951716270025408,24.016879082640934,79.38839687395607,23.22597068714531,76.7740293128547
550,2030,d087,d100,164.2927979538681,188.9408932406889,24.64809528682079,14289035825.618048,18263086131.857857,161.2315377717934,3191.317732531163,4231.393147230962,0.042196989365580806,5.066564396152616,20.85636240917691,20.555602115274528,84.61652783502788,19.54472361165243,80.45527638834757
550,2030,d100,d110,188.9408932406889,207.83498256475784,18.894089324068943,18263086131.857857,21447157123.09503,168.52206722559666,4231.393147230962,4556.677806110421,0.01721621261020943,1.7392755428200093,17.175669099045543,9.205394941180721,90.90498517526152,9.195245218801059,90.80475478119894
550,2030,d110,d123,207.83498256475784,233.29514581072715,25.460163245969312,21447157123.09503,25918602827.199253,175.62517808333817,4556.677806110421,5378.433470319189,0.03227613492772331,4.839338188931369,21.020793887867463,19.007490808989612,82.56346860303552,18.71350917528036,81.28649082471964
550,2040,d087,d100,206.68520068832512,237.69323381204117,31.008033123716046,21576386101.26767,27340985071.67814,185.90663094981988,3446.006364204846,4167.2111379907865,0.023258643039643093,6.957908848777086,24.927123161483827,22.439052554595698,80.38924320684718,21.82186565325687,78.17813434674312
550,2040,d100,d110,237.69323381204117,261.4625571932453,23.769323381204117,27340985071.67814,31904033535.936787,191.97216475530533,4167.2111379907865,4390.335506676578,0.009387072787365494,2.9235987800114454,21.579108602025563,12.299882218453542,90.78554006753726,11.93173772362291,88.06826227637708
